ISSN,DOI,authors,year,title,journal,URL,citations,impact_factor_rank,category,year_for_citations_by_year,citations_per_year,more_than_20_citations_per_year,more_than_25_citations_per_year,more_than_30_citations_per_year
1942-969X,10.1037/tra0000672,Fontanesi; Marchetti; Mazza; Di Giandomenico; Roma; Verrocchio,2020,The effect of the COVID-19 lockdown on parents: A call to adopt urgent measures.,"Psychological Trauma: Theory, Research, Practice, and Policy",https://doi.org/10.1037/tra0000672,266,204,"PSYCHOLOGY, CLINICAL",2020,53.2,TRUE,TRUE,TRUE
1942-969X,10.1037/tra0000840,Alonzi; La Torre; Silverstein,2020,The psychological impact of preexisting mental and physical health conditions during the COVID-19 pandemic.,"Psychological Trauma: Theory, Research, Practice, and Policy",https://doi.org/10.1037/tra0000840,149,204,"PSYCHOLOGY, CLINICAL",2020,29.8,TRUE,TRUE,FALSE
1754-470X,10.1017/s1754470x20000215,Menzies; Menzies,2020,Death anxiety in the time of COVID-19: theoretical explanations and clinical implications,The Cognitive Behaviour Therapist,https://doi.org/10.1017/s1754470x20000215,175,352,"PSYCHOLOGY, CLINICAL",2020,35,TRUE,TRUE,TRUE
1942-969X,10.1037/tra0000774,Beam; Kim,2020,Psychological sequelae of social isolation and loneliness might be a larger problem in young adults than older adults.,"Psychological Trauma: Theory, Research, Practice, and Policy",https://doi.org/10.1037/tra0000774,115,204,"PSYCHOLOGY, CLINICAL",2020,23,TRUE,FALSE,FALSE
1942-969X,10.1037/tra0000798,Kokou-Kpolou; Fernández-Alcántara; Cénat,2020,Prolonged grief related to COVID-19 deaths: Do we have to fear a steep rise in traumatic and disenfranchised griefs?,"Psychological Trauma: Theory, Research, Practice, and Policy",https://doi.org/10.1037/tra0000798,112,204,"PSYCHOLOGY, CLINICAL",2020,22.4,TRUE,FALSE,FALSE
1749-5016,10.1093/scan/nsaa079,Nguyen; Schleihauf; Kayhan; Matthes; Vrtička; Hoehl,2021,Neural synchrony in mother–child conversation: Exploring the role of conversation patterns,Social Cognitive and Affective Neuroscience,https://doi.org/10.1093/scan/nsaa079,83,80,PSYCHOLOGY,2021,20.75,TRUE,FALSE,FALSE
1942-969X,10.1037/tra0000796,Novacek; Hampton-Anderson; Ebor; Loeb; Wyatt,2020,Mental health ramifications of the COVID-19 pandemic for Black Americans: Clinical and research recommendations.,"Psychological Trauma: Theory, Research, Practice, and Policy",https://doi.org/10.1037/tra0000796,113,204,"PSYCHOLOGY, CLINICAL",2020,22.6,TRUE,FALSE,FALSE
1942-969X,10.1037/tra0000861,Phelps; Sperry,2020,Children and the COVID-19 pandemic.,"Psychological Trauma: Theory, Research, Practice, and Policy",https://doi.org/10.1037/tra0000861,143,204,"PSYCHOLOGY, CLINICAL",2020,28.6,TRUE,TRUE,FALSE
1942-969X,10.1037/tra0000821,Misra; Le; Goldmann; Yang,2020,"Psychological impact of anti-Asian stigma due to the COVID-19 pandemic: A call for research, practice, and policy responses.","Psychological Trauma: Theory, Research, Practice, and Policy",https://doi.org/10.1037/tra0000821,121,204,"PSYCHOLOGY, CLINICAL",2020,24.2,TRUE,FALSE,FALSE
1557-1874,10.1007/s11469-020-00340-x,Ahorsu; Imani; Lin; Timpka; Broström; Updegraff; Årestedt; Griffiths; Pakpour,2022,"Associations Between Fear of COVID-19, Mental Health, and Preventive Behaviours Across Pregnant Women and Husbands: An Actor-Partner Interdependence Modelling",International Journal of Mental Health and Addiction,https://doi.org/10.1007/s11469-020-00340-x,121,131,"PSYCHOLOGY, CLINICAL",2022,40.33,TRUE,TRUE,TRUE
0279-1072,10.1080/02791072.2020.1769878,Luoma; Chwyl; Bathje; Davis; Lancelotta,2020,A Meta-Analysis of Placebo-Controlled Trials of Psychedelic-Assisted Therapy,Journal of Psychoactive Drugs,https://doi.org/10.1080/02791072.2020.1769878,115,346,"PSYCHOLOGY, CLINICAL",2020,23,TRUE,FALSE,FALSE
1557-1874,10.1007/s11469-020-00343-8,Broche-Pérez; Fernández-Fleites; Jiménez-Puig; Fernández-Castillo; Rodríguez-Martin,2022,Gender and Fear of COVID-19 in a Cuban Population Sample,International Journal of Mental Health and Addiction,https://doi.org/10.1007/s11469-020-00343-8,137,131,"PSYCHOLOGY, CLINICAL",2022,45.67,TRUE,TRUE,TRUE
0898-929X,10.1162/jocn_a_01591,Bergmann; Hartwigsen,2021,Inferring Causality from Noninvasive Brain Stimulation in Cognitive Neuroscience,Journal of Cognitive Neuroscience,https://doi.org/10.1162/jocn_a_01591,157,154,"PSYCHOLOGY, EXPERIMENTAL",2021,39.25,TRUE,TRUE,TRUE
0887-6185,10.1016/j.janxdis.2020.102258,Mertens; Gerritsen; Duijndam; Salemink; Engelhard,2020,Fear of the coronavirus (COVID-19): Predictors in an online study conducted in March 2020,Journal of Anxiety Disorders,https://doi.org/10.1016/j.janxdis.2020.102258,829,45,"PSYCHOLOGY, CLINICAL",2020,165.8,TRUE,TRUE,TRUE
1740-1445,10.1016/j.bodyim.2020.05.001,Lazuka; Wick; Keel; Harriger,2020,Are We There Yet? Progress in Depicting Diverse Images of Beauty in Instagram’s Body Positivity Movement,Body Image,https://doi.org/10.1016/j.bodyim.2020.05.001,111,36,"PSYCHOLOGY, CLINICAL",2020,22.2,TRUE,FALSE,FALSE
2578-1863,10.1002/hbe2.195,Ajzen,2020,The theory of planned behavior: Frequently asked questions,Human Behavior and Emerging Technologies,https://doi.org/10.1002/hbe2.195,1261,61,"PSYCHOLOGY, MULTIDISCIPLINARY",2020,252.2,TRUE,TRUE,TRUE
1664-1078,10.3389/fpsyg.2020.01085,Benassi; Garofalo; Ambrosini; Sant’Angelo; Raggini; De Paoli; Ravani; Giovagnoli; Orsoni; Piraccini,2020,Using Two-Step Cluster Analysis and Latent Class Cluster Analysis to Classify the Cognitive Heterogeneity of Cross-Diagnostic Psychiatric Inpatients,Frontiers in Psychology,https://doi.org/10.3389/fpsyg.2020.01085,118,228,"PSYCHOLOGY, MULTIDISCIPLINARY",2020,23.6,TRUE,FALSE,FALSE
1385-4046,10.1080/13854046.2020.1769192,Marra; Hamlet; Bauer; Bowers,2020,Validity of teleneuropsychology for older adults in response to COVID-19: A systematic and critical review,The Clinical Neuropsychologist,https://doi.org/10.1080/13854046.2020.1769192,173,165,PSYCHOLOGY,2020,34.6,TRUE,TRUE,TRUE
0018-7208,10.1177/0018720820922080,Hancock; Kessler; Kaplan; Brill; Szalma,2021,Evolving Trust in Robots: Specification Through Sequential and Comparative Meta-Analyses,Human Factors: The Journal of the Human Factors and Ergonomics Society,https://doi.org/10.1177/0018720820922080,126,186,PSYCHOLOGY,2021,31.5,TRUE,TRUE,TRUE
0149-2063,10.1177/0149206320929088,Sarta; Durand; Vergne,2021,Organizational Adaptation,Journal of Management,https://doi.org/10.1177/0149206320929088,95,9,"PSYCHOLOGY, APPLIED",2021,23.75,TRUE,FALSE,FALSE
1664-1078,10.3389/fpsyg.2020.01226,Hernández-Torrano; Ibrayeva; Sparks; Lim; Clementi; Almukhambetova; Nurtayev; Muratkyzy,2020,Mental Health and Well-Being of University Students: A Bibliometric Mapping of the Literature,Frontiers in Psychology,https://doi.org/10.3389/fpsyg.2020.01226,161,228,"PSYCHOLOGY, MULTIDISCIPLINARY",2020,32.2,TRUE,TRUE,TRUE
0894-9867,10.1002/jts.22521,Hawn; Cusack; Amstadter,2020,A Systematic Review of the Self‐Medication Hypothesis in the Context of Posttraumatic Stress Disorder and Comorbid Problematic Alcohol Use,Journal of Traumatic Stress,https://doi.org/10.1002/jts.22521,122,278,"PSYCHOLOGY, CLINICAL",2020,24.4,TRUE,FALSE,FALSE
0033-2917,10.1017/s003329172000224x,Allington; Duffy; Wessely; Dhavan; Rubin,2021,"Health-protective behaviour, social media usage and conspiracy belief during the COVID-19 public health emergency",Psychological Medicine,https://doi.org/10.1017/s003329172000224x,523,26,PSYCHOLOGY,2021,130.75,TRUE,TRUE,TRUE
1359-432X,10.1080/1359432x.2020.1774557,Delanoeije; Verbruggen,2020,Between-person and within-person effects of telework: a quasi-field experiment,European Journal of Work and Organizational Psychology,https://doi.org/10.1080/1359432x.2020.1774557,113,75,"PSYCHOLOGY, APPLIED",2020,22.6,TRUE,FALSE,FALSE
1094-4281,10.1177/1094428120927466,Pratt; Sonenshein; Feldman,2022,Moving Beyond Templates: A Bricolage Approach to Conducting Trustworthy Qualitative Research,Organizational Research Methods,https://doi.org/10.1177/1094428120927466,158,13,"PSYCHOLOGY, APPLIED",2022,52.67,TRUE,TRUE,TRUE
0013-1644,10.1177/0013164420926231,Pavlov; Maydeu-Olivares; Shi,2021,Using the Standardized Root Mean Squared Residual (SRMR) to Assess Exact Fit in Structural Equation Models,Educational and Psychological Measurement,https://doi.org/10.1177/0013164420926231,111,345,"PSYCHOLOGY, EDUCATIONAL",2021,27.75,TRUE,TRUE,FALSE
1573-3696,10.1037/int0000214,Békés; Aafjes-van Doorn,2020,Psychotherapists’ attitudes toward online therapy during the COVID-19 pandemic.,Journal of Psychotherapy Integration,https://doi.org/10.1037/int0000214,206,435,"PSYCHOLOGY, CLINICAL",2020,41.2,TRUE,TRUE,TRUE
0747-5632,10.1016/j.chb.2020.106443,Argyris; Wang; Kim; Yin,2020,The effects of visual congruence on increasing consumers’ brand engagement: An empirical investigation of influencer marketing on instagram using deep-learning algorithms for automatic image classification,Computers in Human Behavior,https://doi.org/10.1016/j.chb.2020.106443,111,12,"PSYCHOLOGY, EXPERIMENTAL",2020,22.2,TRUE,FALSE,FALSE
1557-1874,10.1007/s11469-020-00337-6,Arslan; Yıldırım; Tanhan; Buluş; Allen,2021,"Coronavirus Stress, Optimism-Pessimism, Psychological Inflexibility, and Psychological Health: Psychometric Properties of the Coronavirus Stress Measure",International Journal of Mental Health and Addiction,https://doi.org/10.1007/s11469-020-00337-6,176,131,"PSYCHOLOGY, CLINICAL",2021,44,TRUE,TRUE,TRUE
2397-3374,10.1038/s41562-020-0898-6,Block; Hoffman; Raabe; Dowd; Rahal; Kashyap; Mills,2020,Social network-based distancing strategies to flatten the COVID-19 curve in a post-lockdown world,Nature Human Behaviour,https://doi.org/10.1038/s41562-020-0898-6,374,1,"PSYCHOLOGY, EXPERIMENTAL",2020,74.8,TRUE,TRUE,TRUE
1749-5016,10.1093/scan/nsaa076,Pierce; Péron,2020,The basal ganglia and the cerebellum in human emotion,Social Cognitive and Affective Neuroscience,https://doi.org/10.1093/scan/nsaa076,127,80,PSYCHOLOGY,2020,25.4,TRUE,TRUE,FALSE
1664-1078,10.3389/fpsyg.2020.01426,López-Bueno; Calatayud; Casaña; Casajús; Smith; Tully; Andersen; López-Sánchez,2020,COVID-19 Confinement and Health Risk Behaviors in Spain,Frontiers in Psychology,https://doi.org/10.3389/fpsyg.2020.01426,176,228,"PSYCHOLOGY, MULTIDISCIPLINARY",2020,35.2,TRUE,TRUE,TRUE
0033-3190,10.1159/000509000,Zhai,2021,A Call for Addressing Barriers to Telemedicine: Health Disparities during the COVID-19 Pandemic,Psychotherapy and Psychosomatics,https://doi.org/10.1159/000509000,111,2,PSYCHOLOGY,2021,27.75,TRUE,TRUE,FALSE
0033-2917,10.1017/s003329172000183x,Haslam; McGrath; Viechtbauer; Kuppens,2020,Dimensions over categories: a meta-analysis of taxometric research,Psychological Medicine,https://doi.org/10.1017/s003329172000183x,113,26,PSYCHOLOGY,2020,22.6,TRUE,FALSE,FALSE
1942-969X,10.1037/tra0000924,Fitzpatrick; Harris; Drawve,2020,Fear of COVID-19 and the mental health consequences in America.,"Psychological Trauma: Theory, Research, Practice, and Policy",https://doi.org/10.1037/tra0000924,445,204,"PSYCHOLOGY, CLINICAL",2020,89,TRUE,TRUE,TRUE
1046-1310,10.1007/s12144-020-00724-1,Hofmann; Platt; Lau; Torres-Marín,2023,"Gender differences in humor-related traits, humor appreciation, production, comprehension, (neural) responses, use, and correlates: A systematic review",Current Psychology,https://doi.org/10.1007/s12144-020-00724-1,46,250,"PSYCHOLOGY, MULTIDISCIPLINARY",2023,23,TRUE,FALSE,FALSE
0021-8855,10.1002/jaba.691,Hagopian,2020,"The consecutive controlled case series: Design, data‐analytics, and reporting methods supporting the study of generality",Journal of Applied Behavior Analysis,https://doi.org/10.1002/jaba.691,115,184,"PSYCHOLOGY, CLINICAL",2020,23,TRUE,FALSE,FALSE
2152-2715,10.1089/cyber.2020.0250,Liu,2020,COVID-19 Information Seeking on Digital Media and Preventive Behaviors: The Mediation Role of Worry,"Cyberpsychology, Behavior, and Social Networking",https://doi.org/10.1089/cyber.2020.0250,217,65,"PSYCHOLOGY, SOCIAL",2020,43.4,TRUE,TRUE,TRUE
0021-9630,10.1111/jcpp.13262,Strawn; Lu; Peris; Levine; Walkup,2021,Research Review: Pediatric anxiety disorders – what have we learnt in the last 10 years?,Journal of Child Psychology and Psychiatry,https://doi.org/10.1111/jcpp.13262,81,19,PSYCHOLOGY,2021,20.25,TRUE,FALSE,FALSE
0095-7984,10.1177/0095798420930932,Weller; Bowen; Faubert,2020,Latent Class Analysis: A Guide to Best Practice,Journal of Black Psychology,https://doi.org/10.1177/0095798420930932,997,246,"PSYCHOLOGY, MULTIDISCIPLINARY",2020,199.4,TRUE,TRUE,TRUE
0021-9630,10.1111/jcpp.13278,Becker; Gregory,2020,Editorial Perspective: Perils and promise for child and adolescent sleep and associated psychopathology during the COVID‐19 pandemic,Journal of Child Psychology and Psychiatry,https://doi.org/10.1111/jcpp.13278,179,19,PSYCHOLOGY,2020,35.8,TRUE,TRUE,TRUE
1550-0594,10.1177/1550059420916634,Uyulan; Ergüzel; Unubol; Cebi; Sayar; Nezhad Asad; Tarhan,2021,Major Depressive Disorder Classification Based on Different Convolutional Neural Network Models: Deep Learning Approach,Clinical EEG and Neuroscience,https://doi.org/10.1177/1550059420916634,96,499,PSYCHOLOGY,2021,24,TRUE,FALSE,FALSE
0890-8567,10.1016/j.jaac.2020.05.009,Loades; Chatburn; Higson-Sweeney; Reynolds; Shafran; Brigden; Linney; McManus; Borwick; Crawley,2020,Rapid Systematic Review: The Impact of Social Isolation and Loneliness on the Mental Health of Children and Adolescents in the Context of COVID-19,Journal of the American Academy of Child &amp; Adolescent Psychiatry,https://doi.org/10.1016/j.jaac.2020.05.009,1824,10,"PSYCHOLOGY, DEVELOPMENTAL",2020,364.8,TRUE,TRUE,TRUE
0956-7976,10.1177/0956797620916786,Elliott; Knodt; Ireland; Morris; Poulton; Ramrakha; Sison; Moffitt; Caspi; Hariri,2020,What Is the Test-Retest Reliability of Common Task-Functional MRI Measures? New Empirical Evidence and a Meta-Analysis,Psychological Science,https://doi.org/10.1177/0956797620916786,486,44,"PSYCHOLOGY, MULTIDISCIPLINARY",2020,97.2,TRUE,TRUE,TRUE
2397-3374,10.1038/s41562-020-0896-8,Guan; Wang; Hallegatte; Davis; Huo; Li; Bai; Lei; Xue; Coffman; Cheng; Chen; Liang; Xu; Lu; Wang; Hubacek; Gong,2020,Global supply-chain effects of COVID-19 control measures,Nature Human Behaviour,https://doi.org/10.1038/s41562-020-0896-8,566,1,"PSYCHOLOGY, EXPERIMENTAL",2020,113.2,TRUE,TRUE,TRUE
0167-8760,10.1016/j.ijpsycho.2020.05.010,Carter; Luke,2020,Best practices in eye tracking research,International Journal of Psychophysiology,https://doi.org/10.1016/j.ijpsycho.2020.05.010,290,258,PSYCHOLOGY,2020,58,TRUE,TRUE,TRUE
0748-1187,10.1080/07481187.2020.1774969,Evren; Evren; Dalbudak; Topcu; Kutlu,2022,Measuring anxiety related to COVID-19: A Turkish validation study of the Coronavirus Anxiety Scale,Death Studies,https://doi.org/10.1080/07481187.2020.1774969,159,331,"PSYCHOLOGY, MULTIDISCIPLINARY",2022,53,TRUE,TRUE,TRUE
0951-5070,10.1080/09515070.2020.1773404,Aafjes-van Doorn; Békés; Prout,2021,Grappling with our therapeutic relationship and professional self-doubt during COVID-19: will we use video therapy again?,Counselling Psychology Quarterly,https://doi.org/10.1080/09515070.2020.1773404,110,483,"PSYCHOLOGY, APPLIED",2021,27.5,TRUE,TRUE,FALSE
2367-0134,10.1007/s41542-020-00064-3,Sinclair; Allen; Barber; Bergman; Britt; Butler; Ford; Hammer; Kath; Probst; Yuan,2020,Occupational Health Science in the Time of COVID-19: Now more than Ever,Occupational Health Science,https://doi.org/10.1007/s41542-020-00064-3,167,495,"PSYCHOLOGY, APPLIED",2020,33.4,TRUE,TRUE,TRUE
2515-2459,10.1177/2515245919898657,Hinne; Gronau; van den Bergh; Wagenmakers,2020,A Conceptual Introduction to Bayesian Model Averaging,Advances in Methods and Practices in Psychological Science,https://doi.org/10.1177/2515245919898657,175,3,PSYCHOLOGY,2020,35,TRUE,TRUE,TRUE
0276-3478,10.1002/eat.23317,Phillipou; Meyer; Neill; Tan; Toh; Van Rheenen; Rossell,2020,Eating and exercise behaviors in eating disorders and the general population during the <scp>COVID</scp>‐19 pandemic in Australia: Initial results from the <scp>COLLATE</scp> project,International Journal of Eating Disorders,https://doi.org/10.1002/eat.23317,317,51,PSYCHOLOGY,2020,63.4,TRUE,TRUE,TRUE
0276-3478,10.1002/eat.23318,Rodgers; Lombardo; Cerolini; Franko; Omori; Fuller‐Tyszkiewicz; Linardon; Courtet; Guillaume,2020,The impact of the <scp>COVID</scp>‐19 pandemic on eating disorder risk and symptoms,International Journal of Eating Disorders,https://doi.org/10.1002/eat.23318,345,51,PSYCHOLOGY,2020,69,TRUE,TRUE,TRUE
1942-969X,10.1037/tra0000866,Kofman; Garfin,2020,Home is not always a haven: The domestic violence crisis amid the COVID-19 pandemic.,"Psychological Trauma: Theory, Research, Practice, and Policy",https://doi.org/10.1037/tra0000866,212,204,"PSYCHOLOGY, CLINICAL",2020,42.4,TRUE,TRUE,TRUE
0028-3932,10.1016/j.neuropsychologia.2020.107506,Wang; Wu; Zhang; Xu; Zhang; Wu; Coleman,2020,Emotion recognition with convolutional neural network and EEG-based EFDMs,Neuropsychologia,https://doi.org/10.1016/j.neuropsychologia.2020.107506,143,410,"PSYCHOLOGY, EXPERIMENTAL",2020,28.6,TRUE,TRUE,FALSE
1942-969X,10.1037/tra0000852,Crayne,2020,The traumatic impact of job loss and job search in the aftermath of COVID-19.,"Psychological Trauma: Theory, Research, Practice, and Policy",https://doi.org/10.1037/tra0000852,117,204,"PSYCHOLOGY, CLINICAL",2020,23.4,TRUE,FALSE,FALSE
1942-969X,10.1037/tra0000889,Fortuna; Tolou-Shams; Robles-Ramamurthy; Porche,2020,Inequity and the disproportionate impact of COVID-19 on communities of color in the United States: The need for a trauma-informed social justice response.,"Psychological Trauma: Theory, Research, Practice, and Policy",https://doi.org/10.1037/tra0000889,267,204,"PSYCHOLOGY, CLINICAL",2020,53.4,TRUE,TRUE,TRUE
1557-1874,10.1007/s11469-020-00327-8,Auer; Malischnig; Griffiths,2023,Gambling Before and During the COVID-19 Pandemic Among European Regular Sports Bettors: An Empirical Study Using Behavioral Tracking Data,International Journal of Mental Health and Addiction,https://doi.org/10.1007/s11469-020-00327-8,55,131,"PSYCHOLOGY, CLINICAL",2023,27.5,TRUE,TRUE,FALSE
0031-9384,10.1016/j.physbeh.2020.112964,Wiss; Brewerton,2020,Adverse Childhood Experiences and Adult Obesity: A Systematic Review of Plausible Mechanisms and Meta-Analysis of Cross-Sectional Studies,Physiology &amp; Behavior,https://doi.org/10.1016/j.physbeh.2020.112964,167,272,"PSYCHOLOGY, BIOLOGICAL",2020,33.4,TRUE,TRUE,TRUE
2578-1863,10.1002/hbe2.201,Skulmowski; Rey,2020,"<scp>COVID</scp>
            ‐19 as an accelerator for digitalization at a German university: Establishing hybrid campuses in times of crisis",Human Behavior and Emerging Technologies,https://doi.org/10.1002/hbe2.201,124,61,"PSYCHOLOGY, MULTIDISCIPLINARY",2020,24.8,TRUE,FALSE,FALSE
0748-1187,10.1080/07481187.2020.1773026,Haktanir; Seki; Dilmaç,2022,Adaptation and evaluation of Turkish version of the fear of COVID-19 Scale,Death Studies,https://doi.org/10.1080/07481187.2020.1773026,124,331,"PSYCHOLOGY, MULTIDISCIPLINARY",2022,41.33,TRUE,TRUE,TRUE
0887-6185,10.1016/j.janxdis.2020.102248,Chao; Xue; Liu; Yang; Hall,2020,Media use and acute psychological outcomes during COVID-19 outbreak in China,Journal of Anxiety Disorders,https://doi.org/10.1016/j.janxdis.2020.102248,204,45,"PSYCHOLOGY, CLINICAL",2020,40.8,TRUE,TRUE,TRUE
1939-1536,10.1037/pst0000317,Yang; Hayes,2020,Causes and consequences of burnout among mental health professionals: A practice-oriented review of recent empirical literature.,Psychotherapy,https://doi.org/10.1037/pst0000317,111,231,"PSYCHOLOGY, CLINICAL",2020,22.2,TRUE,FALSE,FALSE
1557-1874,10.1007/s11469-020-00332-x,Doshi; Karunakar; Sukhabogi; Prasanna; Mahajan,2021,Assessing Coronavirus Fear in Indian Population Using the Fear of COVID-19 Scale,International Journal of Mental Health and Addiction,https://doi.org/10.1007/s11469-020-00332-x,131,131,"PSYCHOLOGY, CLINICAL",2021,32.75,TRUE,TRUE,TRUE
1557-1874,10.1007/s11469-020-00331-y,Bakioğlu; Korkmaz; Ercan,2021,"Fear of COVID-19 and Positivity: Mediating Role of Intolerance of Uncertainty, Depression, Anxiety, and Stress",International Journal of Mental Health and Addiction,https://doi.org/10.1007/s11469-020-00331-y,488,131,"PSYCHOLOGY, CLINICAL",2021,122,TRUE,TRUE,TRUE
2326-3598,10.1037/qup0000173,Maxwell,2021,Why qualitative methods are necessary for generalization.,Qualitative Psychology,https://doi.org/10.1037/qup0000173,82,4,"PSYCHOLOGY, MULTIDISCIPLINARY",2021,20.5,TRUE,FALSE,FALSE
1664-1078,10.3389/fpsyg.2020.00509,Herbert; Meixner; Wiebking; Gilg,2020,"Regular Physical Activity, Short-Term Exercise, Mental Health, and Well-Being Among University Students: The Results of an Online and a Laboratory Study",Frontiers in Psychology,https://doi.org/10.3389/fpsyg.2020.00509,127,228,"PSYCHOLOGY, MULTIDISCIPLINARY",2020,25.4,TRUE,TRUE,FALSE
1041-6102,10.1017/s1041610220000988,Hwang; Rabheru; Peisah; Reichman; Ikeda,2020,Loneliness and social isolation during the COVID-19 pandemic,International Psychogeriatrics,https://doi.org/10.1017/s1041610220000988,706,57,PSYCHOLOGY,2020,141.2,TRUE,TRUE,TRUE
1079-5014,10.1093/geronb/gbaa074,Bruine de Bruin,2021,Age Differences in COVID-19 Risk Perceptions and Mental Health: Evidence From a National U.S. Survey Conducted in March 2020,The Journals of Gerontology: Series B,https://doi.org/10.1093/geronb/gbaa074,326,46,PSYCHOLOGY,2021,81.5,TRUE,TRUE,TRUE
2515-2459,10.1177/2515245919898466,de Rooij; Weeda,2020,Cross-Validation: A Method Every Psychologist Should Know,Advances in Methods and Practices in Psychological Science,https://doi.org/10.1177/2515245919898466,104,3,PSYCHOLOGY,2020,20.8,TRUE,FALSE,FALSE
0306-4603,10.1016/j.addbeh.2020.106487,Rozgonjuk; Sindermann; Elhai; Montag,2020,"Fear of Missing Out (FoMO) and social media’s impact on daily-life and productivity at work: Do WhatsApp, Facebook, Instagram, and Snapchat Use Disorders mediate that association?",Addictive Behaviors,https://doi.org/10.1016/j.addbeh.2020.106487,166,90,"PSYCHOLOGY, CLINICAL",2020,33.2,TRUE,TRUE,TRUE
0033-2917,10.1017/s0033291720002019,García-Fernández; Romero-Ferreiro; López-Roldán; Padilla; Calero-Sierra; Monzó-García; Pérez-Martín; Rodriguez-Jimenez,2022,Mental health impact of COVID-19 pandemic on Spanish healthcare workers,Psychological Medicine,https://doi.org/10.1017/s0033291720002019,80,26,PSYCHOLOGY,2022,26.67,TRUE,TRUE,FALSE
0951-5070,10.1080/09515070.2020.1769557,Poletti; Tagini; Brugnera; Parolin; Pievani; Ferrucci; Compare; Silani,2021,Telepsychotherapy: a leaflet for psychotherapists in the age of COVID-19. A review of the evidence,Counselling Psychology Quarterly,https://doi.org/10.1080/09515070.2020.1769557,80,483,"PSYCHOLOGY, APPLIED",2021,20,TRUE,FALSE,FALSE
1359-107X,10.1111/bjhp.12430,Shevlin; Nolan; Owczarek; McBride; Murphy; Gibson Miller; Hartman; Levita; Mason; Martinez; McKay; Stocks; Bennett; Hyland; Bentall,2020,COVID‐19‐related anxiety predicts somatic symptoms in the UK population,British Journal of Health Psychology,https://doi.org/10.1111/bjhp.12430,139,104,"PSYCHOLOGY, CLINICAL",2020,27.8,TRUE,TRUE,FALSE
0301-0511,10.1016/j.biopsycho.2020.107904,Desmedt; Corneille; Luminet; Murphy; Bird; Maurage,2020,Contribution of Time Estimation and Knowledge to Heartbeat Counting Task Performance under Original and Adapted Instructions,Biological Psychology,https://doi.org/10.1016/j.biopsycho.2020.107904,104,199,PSYCHOLOGY,2020,20.8,TRUE,FALSE,FALSE
0001-8791,10.1016/j.jvb.2020.103445,Spurk; Hirschi; Wang; Valero; Kauffeld,2020,Latent profile analysis: A review and “how to” guide of its application within vocational behavior research,Journal of Vocational Behavior,https://doi.org/10.1016/j.jvb.2020.103445,789,35,"PSYCHOLOGY, APPLIED",2020,157.8,TRUE,TRUE,TRUE
0361-476X,10.1016/j.cedpsych.2020.101859,Eccles; Wigfield,2020,"From expectancy-value theory to situated expectancy-value theory: A developmental, social cognitive, and sociocultural perspective on motivation",Contemporary Educational Psychology,https://doi.org/10.1016/j.cedpsych.2020.101859,1000,76,"PSYCHOLOGY, EDUCATIONAL",2020,200,TRUE,TRUE,TRUE
0276-3478,10.1002/eat.23300,Taylor; Fitzsimmons‐Craft; Graham,2020,Digital technology can revolutionize mental health services delivery: The <scp>COVID</scp>‐19 crisis as a catalyst for change,International Journal of Eating Disorders,https://doi.org/10.1002/eat.23300,156,51,PSYCHOLOGY,2020,31.2,TRUE,TRUE,TRUE
1018-8827,10.1007/s00787-020-01549-w,Clemens; Deschamps; Fegert; Anagnostopoulos; Bailey; Doyle; Eliez; Hansen; Hebebrand; Hillegers; Jacobs; Karwautz; Kiss; Kotsis; Kumperscak; Pejovic-Milovancevic; Christensen; Raynaud; Westerinen; Visnapuu-Bernadt,2020,Potential effects of “social” distancing measures and school lockdown on child and adolescent mental health,European Child &amp; Adolescent Psychiatry,https://doi.org/10.1007/s00787-020-01549-w,135,24,"PSYCHOLOGY, DEVELOPMENTAL",2020,27,TRUE,TRUE,FALSE
1664-1078,10.3389/fpsyg.2020.01168,Wang; Zhao,2020,The Impact of COVID-19 on Anxiety in Chinese University Students,Frontiers in Psychology,https://doi.org/10.3389/fpsyg.2020.01168,333,228,"PSYCHOLOGY, MULTIDISCIPLINARY",2020,66.6,TRUE,TRUE,TRUE
0747-5632,10.1016/j.chb.2020.106431,Barbot; Kaufman,2020,What makes immersive virtual reality the ultimate empathy machine? Discerning the underlying mechanisms of change,Computers in Human Behavior,https://doi.org/10.1016/j.chb.2020.106431,107,12,"PSYCHOLOGY, EXPERIMENTAL",2020,21.4,TRUE,FALSE,FALSE
1041-6102,10.1017/s1041610220000964,López; Perez-Rojo; Noriega; Carretero; Velasco; Martinez-Huertas; López-Frutos; Galarraga,2020,Psychological well-being among older adults during the COVID-19 outbreak: a comparative study of the young–old and the old–old adults,International Psychogeriatrics,https://doi.org/10.1017/s1041610220000964,137,57,PSYCHOLOGY,2020,27.4,TRUE,TRUE,FALSE
1532-5024,10.1080/15325024.2020.1769300,Baloran,2020,"Knowledge, Attitudes, Anxiety, and Coping Strategies of Students during COVID-19 Pandemic",Journal of Loss and Trauma,https://doi.org/10.1080/15325024.2020.1769300,277,248,"PSYCHOLOGY, SOCIAL",2020,55.4,TRUE,TRUE,TRUE
